treatment,conditioned-on,attribute,p-value
any-procedure,,sex,0.9999789579483883
any-procedure,,race,0.9326797793440235
any-procedure,stemi-diagnosis,sex,0.5853227983976227
any-procedure,stemi-diagnosis,race,0.5437710760291098
any-procedure,nstemi-diagnosis,sex,0.9986658465505436
any-procedure,nstemi-diagnosis,race,0.836693503604298
surgical-procedure,,sex,0.32797864388745596
surgical-procedure,,race,0.6565989794375999
surgical-procedure,stemi-diagnosis,sex,0.8801230202026712
surgical-procedure,stemi-diagnosis,race,0.9214543439852111
surgical-procedure,nstemi-diagnosis,sex,0.031465324700754124
surgical-procedure,nstemi-diagnosis,race,0.8755664136645743
